Dataset,Mixture 1,Mixture 2,Experimental Values
Snitz 1,33,31,0.725961538462
Snitz 1,34,26,0.6586538461540000
Snitz 1,34,27,0.634615384615
Snitz 1,34,28,0.692307692308
Snitz 1,34,29,0.524038461538
Snitz 1,34,30,0.456730769231
Snitz 1,34,31,0.692307692308
Snitz 1,35,26,0.735576923077
Snitz 1,35,27,0.6538461538460000
Snitz 1,35,28,0.673076923077
Snitz 1,35,29,0.629807692308
Snitz 1,35,30,0.5144230769230000
Snitz 1,35,31,0.6538461538460000
Snitz 1,36,26,0.769230769231
Snitz 1,36,27,0.6538461538460000
Snitz 1,36,28,0.716346153846
Snitz 1,36,29,0.807692307692
Snitz 1,36,30,0.764423076923
Snitz 1,36,31,0.826923076923
Snitz 1,37,38,0.522727272727
Snitz 1,37,39,0.625
Snitz 1,37,40,0.642045454545
Snitz 1,37,41,0.625
Snitz 1,42,39,0.528409090909
Snitz 1,42,40,0.539772727273
Snitz 1,42,41,0.471590909091
Snitz 1,3,38,0.778409090909
Snitz 1,3,39,0.7727272727270000
Snitz 1,3,40,0.7272727272730000
Snitz 1,3,41,0.693181818182
Snitz 1,43,44,0.659090909091
Snitz 1,43,38,0.6647727272730000
Snitz 1,43,45,0.840909090909
Snitz 1,43,39,0.642045454545
Snitz 1,43,40,0.653409090909
Snitz 1,43,41,0.6477272727270000
Snitz 1,43,46,0.6875
Snitz 1,47,44,0.6647727272730000
Snitz 1,47,38,0.392045454545
Snitz 1,47,45,0.7897727272730000
Snitz 1,47,39,0.5625
Snitz 1,47,40,0.488636363636
Snitz 1,47,41,0.534090909091
Snitz 1,47,46,0.619318181818
Snitz 1,48,44,0.6761363636360000
Snitz 1,48,38,0.41477272727300000
Snitz 1,48,45,0.755681818182
Snitz 1,48,39,0.44318181818200000
Snitz 1,48,40,0.346590909091
Snitz 1,48,41,0.522727272727
Snitz 1,48,46,0.528409090909
Snitz 1,49,44,0.352272727273
Snitz 1,49,38,0.454545454545
Snitz 1,49,45,0.6761363636360000
Snitz 1,49,39,0.619318181818
Snitz 1,49,40,0.6477272727270000
Snitz 1,49,41,0.590909090909
Snitz 1,49,46,0.602272727273
Snitz 2,1,2,0.571079231723
Snitz 2,1,3,0.617074811147
Snitz 2,1,4,0.41779456411700000
Snitz 2,5,6,0.7026789188180000
Snitz 2,5,7,0.37768018825
Snitz 2,5,3,0.403165774163
Snitz 2,2,5,0.431679374009
Snitz 2,2,6,0.688897465761
Snitz 2,8,2,0.548093474812
Snitz 2,8,9,0.441539563561
Snitz 2,6,7,0.728967094619
Snitz 2,6,10,0.715333918881
Snitz 2,6,11,0.621787879739
Snitz 2,12,5,0.7077355367390000
Snitz 2,12,2,0.6715115809240000
Snitz 2,12,6,0.640651636661
Snitz 2,12,10,0.629042939731
Snitz 2,7,1,0.641323934974
Snitz 2,7,8,0.611684523341
Snitz 2,3,12,0.7065681593230000
Snitz 2,3,13,0.581259277582
Snitz 2,3,4,0.448164065689
Snitz 2,3,10,0.553118620438
Snitz 2,9,5,0.381566352286
Snitz 2,9,12,0.699182921034
Snitz 2,9,3,0.508135923166
Snitz 2,9,14,0.45565993858
Snitz 2,13,1,0.549520134298
Snitz 2,13,2,0.5669438248410000
Snitz 2,13,6,0.599266027211
Snitz 2,4,5,0.289236252859
Snitz 2,4,8,0.483749081521
Snitz 2,4,13,0.622244157273
Snitz 2,4,11,0.5734456254
Snitz 2,10,9,0.48321253482300000
Snitz 2,10,4,0.39958602052000000
Snitz 2,14,1,0.6566531500900000
Snitz 2,14,6,0.6631651871530000
Snitz 2,14,7,0.331985460051
Snitz 2,14,13,0.595095117069
Snitz 2,14,10,0.3470937926890000
Snitz 2,11,1,0.379850966507
Snitz 2,11,2,0.478150494948
Snitz 2,11,8,0.519923764987
Snitz 2,11,12,0.6520602663050000
Snitz 2,11,13,0.495553599932
Snitz 2,1,5,0.36582365140200000
Snitz 2,1,8,0.6404200025120000
Snitz 2,1,6,0.554831352326
Snitz 2,1,12,0.461249656445
Snitz 2,1,9,0.5312566617710000
Snitz 2,1,10,0.629883689323
Snitz 2,5,8,0.5235729174230000
Snitz 2,5,13,0.623722765999
Snitz 2,5,10,0.524793970672
Snitz 2,5,14,0.434726288431
Snitz 2,5,11,0.44445216527300000
Snitz 2,2,7,0.434875160936
Snitz 2,2,3,0.521107478702
Snitz 2,2,9,0.43529798817200000
Snitz 2,2,4,0.389479171047
Snitz 2,2,10,0.409498442024
Snitz 2,2,14,0.353717605163
Snitz 2,8,6,0.699666352285
Snitz 2,8,12,0.750056230114
Snitz 2,8,3,0.49394373533
Snitz 2,8,13,0.7664386606120000
Snitz 2,8,10,0.537752535482
Snitz 2,8,14,0.617900830068
Snitz 2,6,3,0.6489053254640000
Snitz 2,6,9,0.72206056699
Snitz 2,6,4,0.718496654047
Snitz 2,12,7,0.661498482412
Snitz 2,12,13,0.633933961809
Snitz 2,12,4,0.724689658149
Snitz 2,12,14,0.608783614917
Snitz 2,7,3,0.464489508844
Snitz 2,7,9,0.417438229554
Snitz 2,7,13,0.560994228333
Snitz 2,7,4,0.38538853187200000
Snitz 2,7,10,0.499030846958
Snitz 2,7,11,0.34402908327900000
Snitz 2,3,14,0.51606532477
Snitz 2,3,11,0.49633165323100000
Snitz 2,9,13,0.582958927031
Snitz 2,9,4,0.414009563554
Snitz 2,9,11,0.30900751160300000
Snitz 2,13,10,0.60948957323
Snitz 2,4,14,0.369436835857
Snitz 2,10,11,0.540210831471
Snitz 2,14,11,0.37487680621700000
Ravia 1,1,3,0.6152272727
Ravia 1,1,8,0.5515909091000000
Ravia 1,1,11,0.6897727273000000
Ravia 1,2,5,0.59
Ravia 1,2,7,0.34818181820000000
Ravia 1,2,8,0.4979545455
Ravia 1,3,2,0.5334090909
Ravia 1,3,5,0.4725
Ravia 1,4,3,0.5725
Ravia 1,4,9,0.5479545455
Ravia 1,5,7,0.5956818182
Ravia 1,5,10,0.5875
Ravia 1,5,14,0.5302272727000000
Ravia 1,6,2,0.8334090909000000
Ravia 1,6,3,0.7136363636
Ravia 1,6,5,0.7220454545
Ravia 1,6,10,0.6293181818
Ravia 1,7,1,0.7009090909
Ravia 1,7,4,0.5306818182
Ravia 1,8,6,0.7981818182000000
Ravia 1,8,12,0.6281818182
Ravia 1,8,11,0.5331818182
Ravia 1,8,10,0.6252272727
Ravia 1,9,2,0.4152272727
Ravia 1,9,6,0.7715909091
Ravia 1,9,8,0.5209090909000000
Ravia 1,9,13,0.5556818182
Ravia 1,12,1,0.6759090909
Ravia 1,12,3,0.6131818182
Ravia 1,12,5,0.6470454545
Ravia 1,11,2,0.45363636360000000
Ravia 1,11,4,0.6309090909000000
Ravia 1,11,12,0.7377272727
Ravia 1,11,14,0.46454545450000000
Ravia 1,10,9,0.5859090909
Ravia 1,10,11,0.6425
Ravia 1,13,1,0.6795454545000000
Ravia 1,13,5,0.6765909091000000
Ravia 1,13,7,0.3870454545
Ravia 1,13,12,0.6747727273000000
Ravia 1,13,10,0.6911363636
Ravia 1,14,1,0.6102272727
Ravia 1,14,3,0.5311363636
Ravia 1,14,4,0.49840909090000000
Ravia 1,14,6,0.8034090909
Ravia 1,14,12,0.6522727273000000
Ravia 1,1,2,0.7195454545
Ravia 1,1,4,0.7790909091
Ravia 1,1,5,0.40954545450000000
Ravia 1,1,6,0.7454545455
Ravia 1,1,9,0.6477272727000000
Ravia 1,1,10,0.6434090909
Ravia 1,2,4,0.39409090910000000
Ravia 1,2,12,0.7459090909
Ravia 1,2,10,0.7034090909000000
Ravia 1,2,13,0.42227272730000000
Ravia 1,2,14,0.395
Ravia 1,3,7,0.5359090909000000
Ravia 1,3,8,0.4856818182
Ravia 1,3,9,0.5075
Ravia 1,3,11,0.5043181818
Ravia 1,3,10,0.6495454545
Ravia 1,3,13,0.3963636364
Ravia 1,4,5,0.6684090909
Ravia 1,4,6,0.7927272727000000
Ravia 1,4,8,0.5131818182
Ravia 1,4,12,0.6675
Ravia 1,4,10,0.6502272727000000
Ravia 1,4,13,0.5697727273000000
Ravia 1,5,8,0.5736363636
Ravia 1,5,9,0.6256818182
Ravia 1,5,11,0.685
Ravia 1,6,7,0.8372727273000000
Ravia 1,6,12,0.6352272727
Ravia 1,6,11,0.8495454545
Ravia 1,6,13,0.8188636364
Ravia 1,7,8,0.4368181818
Ravia 1,7,9,0.47795454550000000
Ravia 1,7,12,0.6840909091
Ravia 1,7,11,0.33295454550000000
Ravia 1,7,10,0.6681818182000000
Ravia 1,7,14,0.43340909090000000
Ravia 1,8,13,0.4331818182
Ravia 1,8,14,0.4270454545
Ravia 1,9,12,0.7368181818000000
Ravia 1,9,11,0.5465909091000000
Ravia 1,9,14,0.2275
Ravia 1,12,10,0.3061363636
Ravia 1,11,13,0.2759090909
Ravia 1,10,14,0.6675
Ravia 1,13,14,0.5
Ravia 2,1,3,0.6654000000000000
Ravia 2,1,8,0.644
Ravia 2,1,11,0.5905
Ravia 2,2,5,0.7491
Ravia 2,2,7,0.7304000000000000
Ravia 2,2,8,0.6205000000000000
Ravia 2,3,2,0.6769
Ravia 2,3,5,0.4322
Ravia 2,4,3,0.6791000000000000
Ravia 2,4,9,0.6743000000000000
Ravia 2,5,7,0.38670000000000000
Ravia 2,5,10,0.4804
Ravia 2,5,14,0.5720000000000000
Ravia 2,6,2,0.4817
Ravia 2,6,3,0.6019
Ravia 2,6,5,0.6728000000000000
Ravia 2,6,10,0.5670000000000000
Ravia 2,7,1,0.6644
Ravia 2,7,4,0.6810000000000000
Ravia 2,8,6,0.5494
Ravia 2,8,12,0.5737
Ravia 2,8,11,0.43420000000000000
Ravia 2,8,10,0.5018
Ravia 2,9,2,0.37520000000000000
Ravia 2,9,6,0.48980000000000000
Ravia 2,9,8,0.47980000000000000
Ravia 2,9,13,0.5903
Ravia 2,12,1,0.7618
Ravia 2,12,3,0.5292
Ravia 2,12,5,0.5235
Ravia 2,11,2,0.7157000000000000
Ravia 2,11,4,0.7063000000000000
Ravia 2,11,12,0.47730000000000000
Ravia 2,11,14,0.455
Ravia 2,10,9,0.6539
Ravia 2,10,11,0.4739
Ravia 2,13,1,0.7542
Ravia 2,13,5,0.3202
Ravia 2,13,7,0.3809
Ravia 2,13,12,0.3728
Ravia 2,13,10,0.4985
Ravia 2,14,1,0.6628000000000000
Ravia 2,14,3,0.5667
Ravia 2,14,4,0.7062
Ravia 2,14,6,0.5375
Ravia 2,14,12,0.5134000000000000
Ravia 2,1,2,0.6364
Ravia 2,1,4,0.27680000000000000
Ravia 2,1,5,0.6213000000000000
Ravia 2,1,6,0.4639
Ravia 2,1,9,0.5792
Ravia 2,1,10,0.6726000000000000
Ravia 2,2,4,0.6731
Ravia 2,2,12,0.8059000000000000
Ravia 2,2,10,0.7725
Ravia 2,2,13,0.8229
Ravia 2,2,14,0.6833
Ravia 2,3,7,0.38550000000000000
Ravia 2,3,8,0.4696
Ravia 2,3,9,0.5183
Ravia 2,3,11,0.4607
Ravia 2,3,10,0.5519
Ravia 2,3,13,0.44670000000000000
Ravia 2,4,5,0.7286
Ravia 2,4,6,0.6529000000000000
Ravia 2,4,8,0.6542
Ravia 2,4,12,0.8327
Ravia 2,4,10,0.7128
Ravia 2,4,13,0.7573000000000000
Ravia 2,5,8,0.4579
Ravia 2,5,9,0.6734
Ravia 2,5,11,0.22730000000000000
Ravia 2,6,7,0.7173
Ravia 2,6,12,0.6940000000000000
Ravia 2,6,11,0.6914
Ravia 2,6,13,0.715
Ravia 2,7,8,0.19450000000000000
Ravia 2,7,9,0.5282
Ravia 2,7,12,0.4857
Ravia 2,7,11,0.4042
Ravia 2,7,10,0.4841
Ravia 2,7,14,0.5004
Ravia 2,8,13,0.5069
Ravia 2,8,14,0.526
Ravia 2,9,12,0.7273000000000000
Ravia 2,9,11,0.6285000000000000
Ravia 2,9,14,0.5856
Ravia 2,12,10,0.3837
Ravia 2,11,13,0.34680000000000000
Ravia 2,10,14,0.2889
Ravia 2,13,14,0.5396
Ravia 4,1,11,0.75
Ravia 4,2,12,0.589285714285714
Ravia 4,3,13,0.5
Ravia 4,4,14,0.5
Ravia 4,5,15,0.660714285714286
Ravia 4,6,16,0.517857142857143
Ravia 4,7,17,0.428571428571429
Ravia 4,8,18,0.48214285714285700
Ravia 4,9,19,0.375
Ravia 4,10,20,0.75
Ravia 4,21,31,0.589285714285714
Ravia 4,22,32,0.910714285714286
Ravia 4,23,33,0.48214285714285700
Ravia 4,24,34,0.732142857142857
Ravia 4,25,35,0.464285714285714
Ravia 4,26,36,0.714285714285714
Ravia 4,27,37,0.5
Ravia 4,28,38,0.607142857142857
Ravia 4,29,39,0.589285714285714
Ravia 4,30,40,0.910714285714286
Ravia 4,41,51,0.354166666666667
Ravia 4,42,52,0.5
Ravia 4,43,53,0.3958333333333330
Ravia 4,44,54,0.3958333333333330
Ravia 4,45,55,0.354166666666667
Ravia 4,46,56,0.5208333333333330
Ravia 4,47,57,0.5
Ravia 4,48,58,0.354166666666667
Ravia 4,49,59,0.3125
Ravia 4,50,60,0.3958333333333330
Ravia 4,61,71,0.666666666666667
Ravia 4,62,72,0.5416666666666670
Ravia 4,63,73,0.6041666666666670
Ravia 4,64,74,0.4583333333333330
Ravia 4,65,75,0.645833333333333
Ravia 4,66,76,0.729166666666667
Ravia 4,67,77,0.645833333333333
Ravia 4,68,78,0.666666666666667
Ravia 4,69,79,0.6041666666666670
Ravia 4,70,80,0.770833333333333
Ravia 4,81,91,0.4375
Ravia 4,82,92,0.359375
Ravia 4,83,93,0.46875
Ravia 4,84,94,0.46875
Ravia 4,85,95,0.671875
Ravia 4,86,96,0.40625
Ravia 4,87,97,0.390625
Ravia 4,88,98,0.421875
Ravia 4,89,99,0.421875
Ravia 4,90,100,0.46875
Ravia 5,1,11,0.766666666666667
Ravia 5,2,12,0.766666666666667
Ravia 5,3,13,0.4333333333333330
Ravia 5,4,14,0.6
Ravia 5,5,15,0.666666666666667
Ravia 5,6,16,0.5
Ravia 5,7,17,0.666666666666667
Ravia 5,8,18,0.6
Ravia 5,9,19,0.6
Ravia 5,10,20,0.5
Ravia 5,21,31,0.833333333333333
Ravia 5,22,32,0.966666666666667
Ravia 5,23,33,0.766666666666667
Ravia 5,24,34,0.833333333333333
Ravia 5,25,35,0.4
Ravia 5,26,36,0.9
Ravia 5,27,37,0.7
Ravia 5,28,38,0.8
Ravia 5,29,39,0.7
Ravia 5,30,40,0.766666666666667
Ravia 5,41,51,0.46666666666666700
Ravia 5,42,52,0.8
Ravia 5,43,53,0.9
Ravia 5,44,54,0.5
Ravia 5,45,55,0.2
Ravia 5,46,56,0.633333333333333
Ravia 5,47,57,0.4333333333333330
Ravia 5,48,58,0.46666666666666700
Ravia 5,49,59,0.666666666666667
Ravia 5,50,60,0.5666666666666670
Ravia 5,81,91,0.6
Ravia 5,82,92,0.633333333333333
Ravia 5,83,93,0.4333333333333330
Ravia 5,84,94,0.4333333333333330
Ravia 5,85,95,0.666666666666667
Ravia 5,86,96,0.46666666666666700
Ravia 5,87,97,0.133333333333333
Ravia 5,88,98,0.266666666666667
Ravia 5,89,99,0.233333333333333
Ravia 5,90,100,0.4333333333333330
Ravia 5,101,111,0.4333333333333330
Ravia 5,102,112,0.333333333333333
Ravia 5,103,113,0.766666666666667
Ravia 5,104,114,0.266666666666667
Ravia 5,105,115,0.633333333333333
Ravia 5,106,116,0.4333333333333330
Ravia 5,107,117,0.633333333333333
Ravia 5,108,118,0.3
Ravia 5,109,119,0.6
Ravia 5,110,120,0.333333333333333
Bushdid,497,385,0.576923076923077
Bushdid,242,213,0.692307692307692
Bushdid,402,496,0.26923076923076900
Bushdid,489,287,0.538461538461538
Bushdid,501,511,0.576923076923077
Bushdid,111,274,0.30769230769230800
Bushdid,189,68,0.5
Bushdid,126,38,0.769230769230769
Bushdid,469,472,0.346153846153846
Bushdid,140,110,0.538461538461538
Bushdid,86,337,0.5
Bushdid,66,228,0.653846153846154
Bushdid,202,74,0.769230769230769
Bushdid,397,323,0.807692307692308
Bushdid,261,30,0.730769230769231
Bushdid,481,313,0.6153846153846150
Bushdid,322,193,0.4230769230769230
Bushdid,256,317,0.576923076923077
Bushdid,184,254,0.576923076923077
Bushdid,356,364,0.6153846153846150
Bushdid,34,409,0.538461538461538
Bushdid,250,460,0.5
Bushdid,324,425,0.576923076923077
Bushdid,423,181,0.807692307692308
Bushdid,120,141,0.26923076923076900
Bushdid,163,434,0.30769230769230800
Bushdid,37,101,0.653846153846154
Bushdid,90,178,0.6153846153846150
Bushdid,476,179,0.653846153846154
Bushdid,201,354,0.538461538461538
Bushdid,416,294,0.576923076923077
Bushdid,231,183,0.5
Bushdid,218,73,0.653846153846154
Bushdid,300,134,0.346153846153846
Bushdid,443,410,0.5
Bushdid,488,302,0.30769230769230800
Bushdid,424,430,0.692307692307692
Bushdid,116,88,0.4230769230769230
Bushdid,16,133,0.538461538461538
Bushdid,100,348,0.346153846153846
Bushdid,259,510,0.692307692307692
Bushdid,105,198,0.38461538461538500
Bushdid,326,484,0.461538461538462
Bushdid,102,227,0.730769230769231
Bushdid,387,176,0.30769230769230800
Bushdid,161,255,0.346153846153846
Bushdid,246,146,0.538461538461538
Bushdid,223,412,0.769230769230769
Bushdid,156,78,0.807692307692308
Bushdid,384,207,0.4230769230769230
Bushdid,15,87,0.769230769230769
Bushdid,169,27,0.8846153846153850
Bushdid,428,471,0.15384615384615400
Bushdid,327,374,0.4230769230769230
Bushdid,392,437,0.807692307692308
Bushdid,204,371,0.26923076923076900
Bushdid,14,439,0.846153846153846
Bushdid,307,61,0.38461538461538500
Bushdid,504,108,0.461538461538462
Bushdid,1,226,0.730769230769231
Bushdid,389,292,0.30769230769230800
Bushdid,500,35,0.26923076923076900
Bushdid,94,234,0.19230769230769200
Bushdid,31,167,0.538461538461538
Bushdid,383,253,0.538461538461538
Bushdid,414,11,0.846153846153846
Bushdid,215,191,0.4230769230769230
Bushdid,152,491,0.538461538461538
Bushdid,365,92,0.576923076923077
Bushdid,197,507,0.576923076923077
Bushdid,212,50,0.4230769230769230
Bushdid,339,131,0.692307692307692
Bushdid,29,406,0.807692307692308
Bushdid,477,376,0.730769230769231
Bushdid,419,229,0.846153846153846
Bushdid,8,498,0.4230769230769230
Bushdid,6,137,0.5
Bushdid,57,458,0.807692307692308
Bushdid,319,286,0.30769230769230800
Bushdid,190,166,0.692307692307692
Bushdid,394,118,0.346153846153846
Bushdid,203,403,0.461538461538462
Bushdid,400,312,0.6153846153846150
Bushdid,475,160,0.769230769230769
Bushdid,55,84,0.692307692307692
Bushdid,60,46,0.2307692307692310
Bushdid,284,314,0.769230769230769
Bushdid,395,104,0.19230769230769200
Bushdid,517,299,0.26923076923076900
Bushdid,170,159,0.538461538461538
Bushdid,39,372,0.807692307692308
Bushdid,130,417,0.769230769230769
Bushdid,373,165,0.769230769230769
Bushdid,239,128,0.4230769230769230
Bushdid,99,222,0.807692307692308
Bushdid,48,180,0.730769230769231
Bushdid,85,461,0.15384615384615400
Bushdid,269,502,0.5
Bushdid,230,280,0.461538461538462
Bushdid,398,117,0.15384615384615400
Bushdid,360,40,0.461538461538462
Bushdid,320,214,0.692307692307692
Bushdid,139,514,0.30769230769230800
Bushdid,336,248,0.576923076923077
Bushdid,32,235,0.6153846153846150
Bushdid,77,494,0.653846153846154
Bushdid,64,329,0.653846153846154
Bushdid,404,380,0.538461538461538
Bushdid,224,271,0.5
Bushdid,508,512,0.769230769230769
Bushdid,495,492,0.730769230769231
Bushdid,503,379,0.461538461538462
Bushdid,79,422,0.5
Bushdid,91,399,0.6153846153846150
Bushdid,168,149,0.730769230769231
Bushdid,135,127,0.38461538461538500
Bushdid,436,262,0.692307692307692
Bushdid,192,370,0.30769230769230800
Bushdid,391,52,0.538461538461538
Bushdid,470,411,0.15384615384615400
Bushdid,265,366,0.730769230769231
Bushdid,381,464,0.461538461538462
Bushdid,405,241,0.30769230769230800
Bushdid,138,421,0.461538461538462
Bushdid,334,506,0.26923076923076900
Bushdid,44,388,0.730769230769231
Bushdid,298,273,0.653846153846154
Bushdid,187,143,0.730769230769231
Bushdid,390,440,0.576923076923077
Bushdid,519,328,0.26923076923076900
Bushdid,418,375,0.461538461538462
Bushdid,123,121,0.4230769230769230
Bushdid,151,281,0.19230769230769200
Bushdid,429,455,0.538461538461538
Bushdid,36,452,0.38461538461538500
Bushdid,96,321,0.653846153846154
Bushdid,291,124,0.923076923076923
Bushdid,363,172,0.4230769230769230
Bushdid,351,59,0.6153846153846150
Bushdid,80,276,0.346153846153846
Bushdid,474,263,0.846153846153846
Bushdid,303,295,0.6153846153846150
Bushdid,43,288,0.38461538461538500
Bushdid,97,225,0.4230769230769230
Bushdid,194,219,0.730769230769231
Bushdid,304,76,0.5
Bushdid,396,358,0.538461538461538
Bushdid,473,205,0.38461538461538500
Bushdid,145,340,0.846153846153846
Bushdid,155,122,0.653846153846154
Bushdid,200,282,0.26923076923076900
Bushdid,174,82,0.26923076923076900
Bushdid,42,482,0.769230769230769
Bushdid,309,444,0.576923076923077
Bushdid,413,75,0.538461538461538
Bushdid,251,310,0.6153846153846150
Bushdid,331,25,0.4230769230769230
Bushdid,332,293,0.730769230769231
Bushdid,190,13,0.769230769230769
Bushdid,420,283,0.38461538461538500
Bushdid,182,9,0.769230769230769
Bushdid,515,83,0.692307692307692
Bushdid,442,311,0.4230769230769230
Bushdid,457,54,0.538461538461538
Bushdid,315,49,0.461538461538462
Bushdid,393,448,0.653846153846154
Bushdid,154,233,0.692307692307692
Bushdid,456,468,0.5
Bushdid,208,196,0.4230769230769230
Bushdid,260,415,0.730769230769231
Bushdid,210,377,0.461538461538462
Bushdid,24,490,0.538461538461538
Bushdid,188,361,0.730769230769231
Bushdid,478,72,0.26923076923076900
Bushdid,270,23,0.653846153846154
Bushdid,148,308,0.38461538461538500
Bushdid,19,267,0.2307692307692310
Bushdid,264,346,0.461538461538462
Bushdid,285,109,0.5
Bushdid,119,301,0.4230769230769230
Bushdid,462,466,0.4230769230769230
Bushdid,58,112,0.538461538461538
Bushdid,463,107,0.346153846153846
Bushdid,157,447,0.5
Bushdid,150,355,0.538461538461538
Bushdid,240,446,0.461538461538462
Bushdid,432,18,0.5
Bushdid,158,505,0.730769230769231
Bushdid,297,465,0.692307692307692
Bushdid,132,342,0.5
Bushdid,278,144,0.30769230769230800
Bushdid,249,279,0.4230769230769230
Bushdid,408,369,0.4230769230769230
Bushdid,493,362,0.846153846153846
Bushdid,89,4,0.692307692307692
Bushdid,487,5,0.346153846153846
Bushdid,316,335,0.5
Bushdid,199,177,0.6153846153846150
Bushdid,62,257,0.538461538461538
Bushdid,53,344,0.692307692307692
Bushdid,232,206,0.730769230769231
Bushdid,147,341,0.769230769230769
Bushdid,368,305,0.538461538461538
Bushdid,103,258,0.653846153846154
Bushdid,352,220,0.692307692307692
Bushdid,171,431,0.576923076923077
Bushdid,175,427,0.461538461538462
Bushdid,266,26,0.576923076923077
Bushdid,359,347,0.538461538461538
Bushdid,438,142,0.769230769230769
Bushdid,162,330,0.653846153846154
Bushdid,21,268,0.461538461538462
Bushdid,113,378,0.807692307692308
Bushdid,247,349,0.26923076923076900
Bushdid,435,20,0.2307692307692310
Bushdid,56,136,0.769230769230769
Bushdid,499,81,0.576923076923077
Bushdid,454,325,0.38461538461538500
Bushdid,272,129,0.653846153846154
Bushdid,306,95,0.5
Bushdid,236,238,0.30769230769230800
Bushdid,47,479,0.769230769230769
Bushdid,185,277,0.6153846153846150
Bushdid,480,28,0.576923076923077
Bushdid,357,289,0.576923076923077
Bushdid,2,45,0.576923076923077
Bushdid,353,93,0.576923076923077
Bushdid,486,7,0.5
Bushdid,3,318,0.807692307692308
Bushdid,33,485,0.538461538461538
Bushdid,221,426,0.4230769230769230
Bushdid,195,445,0.769230769230769
Bushdid,115,296,0.6153846153846150
Bushdid,516,333,0.846153846153846
Bushdid,67,243,0.576923076923077
Bushdid,153,513,0.4230769230769230
Bushdid,237,65,0.692307692307692
Bushdid,106,451,0.730769230769231
Bushdid,12,186,0.38461538461538500
Bushdid,509,98,0.461538461538462
Bushdid,71,211,0.38461538461538500
Bushdid,173,63,0.5
Bushdid,386,450,0.38461538461538500
Bushdid,209,70,0.653846153846154
Bushdid,453,467,0.38461538461538500
Bushdid,41,17,0.576923076923077
Bushdid,216,114,0.4230769230769230
Bushdid,367,290,0.07692307692307690
Bushdid,441,345,0.653846153846154
Bushdid,244,10,0.653846153846154
