Dataset,Mixture Label,CID_1,CID_2,CID_3,CID_4,CID_5,CID_6,CID_7,CID_8,CID_9,CID_10,CID_11,CID_12,CID_13,CID_14,CID_15,CID_16,CID_17,CID_18,CID_19,CID_20,CID_21,CID_22,CID_23,CID_24,CID_25,CID_26,CID_27,CID_28,CID_29,CID_30,CID_31,CID_32,CID_33,CID_34,CID_35,CID_36,CID_37,CID_38,CID_39,CID_40,CID_41,CID_42,CID_43
Snitz 1,18,14286,7710,31276,10890,7600,7519,11002,6982,307,323,2879,7731,5283349,7583,7762,26331,3314,7363,8892,8103,7888,443158,16666,8635,7059,62444,91497,8918,957,18827,7991,7770,8118,6736,8030,6989,10722,5634,10430,7921,,,
Snitz 1,19,7731,8892,7888,7059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,20,62336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,21,6501,264,6259976,8797,7685,7632,22201,2758,460,8129,5281168,62336,798,61016,20859,61138,10821,6054,1140,1183,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,22,6501,62433,264,5281515,7685,326,7966,8148,24915,7632,22201,31252,19310,2758,8130,8129,6184,12178,798,61016,7119,20859,999,10821,6054,6544,6654,1140,7714,1183,,,,,,,,,,,,,
Snitz 1,23,7410,6501,62433,240,93009,264,5281515,6259976,8797,7685,326,7966,8148,24915,7632,22201,31252,19310,7749,2758,460,8130,8129,6184,12178,5281168,62336,798,61016,7119,20859,61138,999,10821,6054,6544,6654,1140,7714,1183,,,
Snitz 1,24,7749,61138,6054,6544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,25,7600,62433,307,5283349,443158,8635,8918,999,6736,10722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,26,7410,10890,7519,7685,24915,26331,8129,16666,7770,10430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,27,7714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,28,7410,10890,93009,6259976,2879,8797,7685,24915,8103,5281168,7888,16666,18827,7991,6054,6654,7770,8030,5634,10430,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,29,7410,10890,93009,11002,8797,7685,7731,7966,24915,7583,26331,5281168,7888,798,61016,16666,7119,20859,18827,7991,6054,6654,7770,8118,8030,1140,7714,5634,10430,1183,,,,,,,,,,,,,
Snitz 1,30,7410,10890,7519,93009,11002,6259976,323,2879,8797,7685,7731,326,7966,24915,31252,7583,26331,460,8129,8103,5281168,7888,798,61016,16666,7119,20859,18827,7991,10821,6054,6654,7770,8118,8030,1140,7714,5634,10430,1183,,,
Snitz 1,31,5281168,10890,2879,7966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,32,31276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,33,14286,7710,31276,7600,5281515,6982,5283349,7632,7762,3314,6184,443158,91497,8918,957,61138,999,6544,6989,7921,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,34,14286,7710,31276,7600,62433,240,264,5281515,6982,307,5283349,7632,22201,19310,7749,2758,3314,6184,8892,443158,7059,91497,8918,957,61138,6544,6736,6989,10722,7921,,,,,,,,,,,,,
Snitz 1,35,14286,6501,7710,31276,7600,62433,240,264,5281515,6982,307,5283349,8148,7632,22201,19310,7762,7749,2758,3314,7363,8130,6184,8892,12178,62336,443158,8635,7059,62444,91497,8918,957,61138,999,6544,6736,6989,10722,7921,,,
Snitz 1,36,62433,7363,443158,61138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,37,14286,7600,3314,16666,91497,18827,7991,7770,6989,5634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,38,61199,10890,93009,264,6259976,24915,7762,460,8129,5281168,443158,8918,957,999,17100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,39,61199,6501,264,2879,7731,326,24915,7762,460,8129,8892,12178,5281168,443158,4133,999,10821,17100,11552,1183,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,40,61199,6501,31276,10890,7519,240,93009,11002,6259976,2879,7685,7731,326,5283349,7583,460,8129,8892,12178,443158,4133,8918,957,61138,999,10821,6544,17100,11552,1183,,,,,,,,,,,,,
Snitz 1,41,61199,6501,31276,10890,7519,240,93009,264,11002,6259976,2879,8797,7685,7731,326,7966,5283349,9609,24915,7583,7762,26331,460,8129,8892,12178,5281168,443158,20859,4133,62444,8918,957,61138,999,10821,6544,6736,17100,31277,10722,11552,1183
Snitz 1,42,7410,7710,7600,62433,307,7749,3314,61016,16666,91497,6054,6654,8030,5634,10430,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,43,7410,14286,7710,7600,62433,5281515,6982,22201,7749,3314,8130,8103,7888,16666,91497,6654,7770,5634,10430,7921,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,44,6501,8797,326,26331,8129,12178,999,6544,6736,11552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,45,7685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,46,6501,460,999,6544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,47,7410,7710,7600,62433,5281515,6982,307,7632,22201,31252,19310,7749,3314,6184,7888,61016,16666,7119,91497,18827,7991,6054,6654,7770,8118,8030,6989,7714,5634,10430,,,,,,,,,,,,,
Snitz 1,48,7410,14286,7710,7600,62433,5281515,6982,307,323,8148,7632,22201,31252,19310,7749,2758,3314,7363,8130,6184,8103,62336,7888,798,61016,16666,7119,8635,7059,91497,18827,7991,6054,6654,7770,8118,8030,6989,1140,7714,5634,10430,7921
Snitz 1,49,7600,62433,7991,6989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,1,326,26331,6544,1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,2,7710,62433,7519,7685,3314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,3,31276,62433,7519,8129,12178,18827,10722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,4,62433,8797,2758,3314,8635,61138,6054,6544,10722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,5,7410,240,93009,8635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,6,7519,8148,31252,8103,5281168,6544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,7,240,307,7731,2758,12178,62336,8635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,8,31276,8148,7762,18827,7714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,9,7710,93009,8130,8103,5281168,7059,8918,7714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,10,11002,307,7685,12178,4133,7991,6054,7770,7714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,11,240,2758,8130,8129,5281168,7059,4133,8918,957,6654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,12,7410,326,2758,62444,7770,1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,13,7410,7519,11002,8797,8129,5281168,6654,8030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,14,8797,7731,7966,3314,62336,7059,7991,61138,6054,6544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,1,326,26331,1140,11002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,2,7410,240,93009,8635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,3,6544,62433,7519,7685,3314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,4,31276,8148,7762,18827,7714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,5,7519,8148,31252,8103,7710,11002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,6,7410,326,2758,62444,7770,1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,7,240,637511,7731,2758,12178,62336,8635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,8,31276,62433,8129,12178,7519,18827,10722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,9,6544,93009,8130,8103,7710,7059,8918,7714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,10,7410,5281168,8797,7519,8129,7710,6654,8030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,11,62433,8797,2758,3314,8635,61138,11002,6054,10722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,12,5281168,637511,7685,12178,4133,7991,6054,7770,7714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,13,8797,7731,7966,3314,62336,7059,7991,61138,6054,11002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,14,240,2758,8130,8129,7710,7059,4133,8918,957,6654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,1,556940,7601,11086,61670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,2,62351,565690,10925,7593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,3,5363233,89440,126,11980,61293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,4,7194,520296,61670,637776,23642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,5,126,520296,7122,6050,5273467,5364231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,6,2214,556940,8180,8077,325,11086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,7,7601,778574,61331,8180,17121,24834,7593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,8,7194,89440,6560,17121,126,637776,9012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,9,5363233,10925,5365049,6050,5273467,31219,7765,23642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,10,62351,1550470,7657,6997,6560,5273467,18554,2214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,11,89440,7657,7122,61293,7593,5367698,5364231,14104,9012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,12,1550470,778574,11980,61771,6998,444972,14104,325,23642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,13,7657,61331,61771,61293,24834,31219,444972,5367698,14104,5364231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,14,565690,8180,5365049,6560,8077,31219,6998,7765,6997,18554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,1,7799,176,7363,14286,8025,6561,11552,12020,22386,9609,84682,8063,8857,7895,7284,11173,8103,637566,638011,10890,24915,3314,8842,10430,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,2,7799,6590,61138,11552,62336,9609,6276,7895,7284,261,5284503,637566,31266,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,3,7799,7150,14286,264,11552,62336,263,9609,7895,261,8103,8842,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,4,7799,1068,3776,61138,7793,264,527,263,84682,10448,7284,11173,5318042,637566,638011,10890,24915,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,5,1068,6590,1031,176,180,3776,7363,7150,14286,8025,6561,443158,22386,1032,6569,84682,8063,6276,8857,7895,261,5284503,5318042,8103,10890,24915,31266,10430,0,0,,,,,,,,,,,,,
Ravia 4,6,7799,6590,31244,176,7150,8025,7793,443158,11552,1032,8063,7284,5284503,5318042,638011,24915,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,7,31244,176,180,3776,7363,7150,14286,19310,443158,11552,22386,62336,263,9609,8063,7895,5284503,5318042,638011,637776,10430,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,8,6590,31244,180,3776,7363,14286,61138,6561,443158,11552,12020,62336,263,84682,8063,6276,10448,7895,11173,261,5284503,5318042,638011,10890,8842,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,9,7799,7363,61138,8025,443158,264,12020,527,263,1032,84682,10448,7895,7284,11173,8103,637566,638011,24915,31266,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,10,7799,1068,6590,31244,7150,61138,7793,443158,22386,5284503,637566,10890,8842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,11,7799,1068,6590,31244,176,180,7150,61138,8025,6561,443158,22386,62336,527,9609,1032,6569,84682,6276,10448,8857,7895,11173,5284503,5318042,8103,637566,638011,637776,10890,,,,,,,,,,,,,
Ravia 4,12,1068,6590,31244,1031,176,180,3776,7363,7150,7793,12020,6584,1032,6569,8857,637566,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,13,7799,1031,176,180,14286,8025,6561,7793,264,11552,12020,22386,263,6584,84682,8063,5284503,5318042,8103,3314,10430,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,14,7799,6590,31244,1031,180,3776,7363,7150,14286,61138,19310,443158,264,12020,22386,62336,527,263,6584,1032,84682,6276,7895,7284,5284503,638011,637776,24915,31266,0,,,,,,,,,,,,,
Ravia 4,15,1031,7363,14286,19310,12020,263,1032,6569,8063,6276,7895,7284,3314,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,16,31244,7150,8025,11552,22386,6584,6569,6276,10448,7895,7284,261,5284503,638011,637776,8842,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,17,7799,1068,6590,1031,7150,61138,8025,19310,6561,7793,11552,12020,263,6276,10448,7895,261,5284503,5318042,638011,637776,8842,10430,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,18,6590,31244,176,180,7363,7150,61138,8025,19310,6561,443158,11552,12020,62336,263,9609,1032,6276,10448,7895,7284,8103,638011,637776,24915,3314,0,0,0,0,,,,,,,,,,,,,
Ravia 4,19,7799,6590,31244,1031,180,3776,7363,61138,8025,19310,6561,443158,264,22386,62336,527,263,6584,6569,10448,8857,7284,11173,261,5318042,8103,638011,637776,31266,3314,,,,,,,,,,,,,
Ravia 4,20,7799,1068,6590,31244,176,180,3776,7150,14286,61138,19310,6561,443158,11552,527,9609,1032,6569,10448,8857,7895,7284,11173,261,637566,637776,10890,31266,3314,8842,,,,,,,,,,,,,
Ravia 4,21,1068,1031,176,180,7363,61138,19310,443158,22386,62336,9609,6584,1032,6569,84682,8063,6276,5284503,8103,637566,638011,31266,3314,10430,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,22,31244,176,3776,6561,264,9609,6584,84682,6276,11173,261,8103,637566,637776,24915,8842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,23,6590,31244,3776,7150,61138,19310,7793,22386,62336,527,9609,6584,1032,8857,7895,5284503,8103,637566,8842,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,24,6590,180,6561,22386,527,263,6569,10448,8857,637776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,25,7799,176,7363,19310,6561,264,12020,62336,84682,8857,7895,7284,5318042,638011,24915,31266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,26,6590,31244,7363,61138,19310,6561,264,1032,6569,84682,10448,261,5284503,5318042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,27,6590,31244,176,180,61138,8025,19310,7793,443158,12020,527,263,1032,6569,84682,8063,7895,11173,261,5284503,5318042,637566,638011,637776,10890,31266,3314,8842,10430,0,,,,,,,,,,,,,
Ravia 4,28,1031,176,7363,7150,8025,6561,7793,11552,527,6584,1032,10448,7895,7284,11173,5284503,637566,638011,10890,8842,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,29,6590,31244,3776,7150,6561,7793,443158,264,12020,527,263,9609,8063,6276,8857,7895,7284,261,5318042,8103,638011,24915,31266,3314,10430,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,30,7799,1031,176,3776,7793,22386,9609,8063,7895,11173,5318042,638011,31266,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,31,6590,31244,1031,180,7363,61138,264,22386,527,263,10448,7284,5318042,8103,637776,10890,31266,3314,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,32,7799,180,3776,7363,61138,8025,19310,6561,7793,264,12020,22386,527,263,6584,8063,8857,7895,7284,5284503,8103,638011,10890,24915,31266,3314,8842,0,0,0,,,,,,,,,,,,,
Ravia 4,33,1068,6590,1031,3776,7150,14286,19310,12020,8063,6276,8857,7284,5318042,8103,637566,638011,10890,3314,8842,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,34,6590,7150,14286,61138,7793,443158,11552,22386,263,9609,84682,8063,8857,31266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,35,7799,1068,6590,31244,176,180,7150,61138,8025,6561,443158,22386,62336,527,9609,1032,6569,84682,6276,10448,8857,7895,11173,5284503,5318042,8103,637566,638011,637776,10890,,,,,,,,,,,,,
Ravia 4,36,180,7363,1032,5284503,8103,637776,10890,24915,3314,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,37,31244,3776,61138,19310,7793,12020,263,9609,6569,84682,8857,7284,5318042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,38,7799,1068,6590,1031,176,61138,19310,7793,443158,11552,22386,9609,8063,6276,10448,8857,7895,11173,261,5284503,5318042,8103,637566,637776,24915,3314,0,0,0,0,,,,,,,,,,,,,
Ravia 4,39,31244,1031,176,3776,443158,11552,22386,527,6584,6569,84682,8063,6276,8857,261,5284503,5318042,8103,638011,637776,31266,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,40,7799,1031,176,180,14286,8025,6561,7793,264,11552,12020,22386,263,6584,84682,8063,5284503,5318042,8103,3314,10430,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,41,7799,31244,7150,14286,8025,19310,7793,443158,11552,12020,22386,62336,527,84682,8063,6276,10448,7284,5284503,5318042,8103,637566,638011,24915,31266,10430,0,0,0,0,,,,,,,,,,,,,
Ravia 4,42,7799,1068,31244,1031,176,7150,61138,7793,443158,11552,22386,527,263,6584,1032,84682,8063,6276,7284,11173,5318042,8103,637566,638011,637776,3314,8842,10430,0,0,,,,,,,,,,,,,
Ravia 4,43,7799,1068,6590,1031,180,3776,7363,7150,14286,61138,8025,19310,6561,7793,443158,11552,12020,22386,62336,6584,6569,10448,7895,7284,11173,638011,637776,10890,8842,10430,,,,,,,,,,,,,
Ravia 4,44,7799,1068,6590,31244,180,7150,8025,19310,6561,443158,264,12020,527,263,8063,6276,10448,8857,11173,261,5284503,5318042,637566,638011,637776,10890,24915,10430,0,0,,,,,,,,,,,,,
Ravia 4,45,7799,1068,31244,1031,176,180,7363,14286,61138,8025,19310,7793,443158,264,11552,12020,527,263,1032,8063,8857,7284,11173,8103,637566,638011,24915,3314,10430,0,,,,,,,,,,,,,
Ravia 4,46,1031,7363,7150,8025,527,84682,5318042,637566,638011,3314,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,47,6590,31244,176,180,7150,14286,6561,7793,443158,22386,62336,527,9609,6584,6569,8063,6276,7895,11173,5284503,5318042,637566,637776,31266,10430,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,48,7363,14286,8025,6561,264,22386,62336,6569,84682,8063,11173,261,8103,637776,10890,24915,31266,3314,10430,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,49,6561,264,9609,1032,84682,10448,11173,637566,638011,637776,10890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,50,7799,6590,1031,176,180,7150,61138,6561,7793,264,12020,22386,62336,9609,6584,1032,84682,10448,7895,7284,11173,5318042,8103,10890,31266,10430,0,0,0,0,,,,,,,,,,,,,
Ravia 4,51,7799,6590,31244,3776,7363,7150,14286,61138,8025,19310,6561,7793,12020,22386,62336,527,263,6584,8063,10448,8857,11173,637566,638011,637776,24915,31266,10430,0,0,,,,,,,,,,,,,
Ravia 4,52,1031,7363,7150,8025,527,84682,5318042,637566,638011,3314,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,53,7799,6590,31244,1031,7150,61138,19310,6561,7793,443158,11552,527,263,6584,1032,84682,10448,7284,5284503,637566,638011,637776,10890,24915,31266,3314,8842,10430,0,0,,,,,,,,,,,,,
Ravia 4,54,180,7363,7150,14286,61138,8025,19310,443158,264,11552,12020,22386,62336,527,9609,6569,84682,8063,6276,10448,7895,11173,261,5318042,8103,637566,638011,10890,24915,10430,,,,,,,,,,,,,
Ravia 4,55,6590,31244,180,3776,7363,14286,19310,6561,264,9609,6569,6276,8857,7284,5318042,637566,638011,24915,31266,8842,10430,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,56,7799,1068,31244,1031,176,7150,61138,7793,443158,11552,22386,527,263,6584,1032,84682,8063,6276,7284,11173,5318042,8103,637566,638011,637776,3314,8842,10430,0,0,,,,,,,,,,,,,
Ravia 4,57,1068,7150,14286,6561,7793,11552,22386,263,6569,8063,6276,8857,7284,261,5318042,8103,637566,637776,10430,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,58,6590,7363,14286,61138,8025,264,12020,22386,263,9609,1032,8063,11173,10890,31266,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,59,6590,176,6561,264,62336,10448,8857,7284,11173,261,5318042,8103,638011,10890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,60,1068,31244,176,180,3776,7363,7150,61138,8025,7793,264,11552,22386,527,9609,6584,6569,84682,8063,6276,10448,7284,11173,261,10890,24915,10430,0,0,0,,,,,,,,,,,,,
Ravia 4,61,7799,1068,31244,176,180,3776,7363,14286,19310,264,11552,12020,22386,527,263,9609,84682,8063,6276,10448,7284,11173,5318042,8103,638011,637776,10890,31266,8842,0,,,,,,,,,,,,,
Ravia 4,62,7799,1068,6590,31244,176,7363,61138,6561,443158,12020,62336,527,6584,10448,8857,7895,11173,261,5284503,8103,31266,3314,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,63,1068,31244,176,3776,7150,61138,8025,6561,62336,527,263,9609,6569,8063,5318042,3314,8842,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,64,7799,1068,6590,31244,1031,176,180,3776,7363,14286,61138,8025,443158,12020,62336,527,263,9609,6584,84682,6276,10448,7284,11173,5318042,8103,637566,24915,31266,3314,,,,,,,,,,,,,
