Dataset,Mixture 1,Mixture 2,Experimental Values,augmentation_Action
Snitz 1,22,15,0.682692308,None
Snitz 1,22,16,0.451923077,None
Snitz 1,22,17,0.427884615,None
Snitz 1,22,18,0.5,None
Snitz 1,22,19,0.793269231,None
Snitz 1,23,14,0.754807692,None
Snitz 1,23,15,0.673076923,None
Snitz 1,23,16,0.5,None
Snitz 1,23,17,0.451923077,None
Snitz 1,23,18,0.418269231,None
Snitz 1,23,19,0.778846154,None
Snitz 1,24,14,0.778846154,None
Snitz 1,24,15,0.701923077,None
Snitz 1,24,16,0.735576923,None
Snitz 1,24,18,0.778846154,None
Snitz 1,24,19,0.677884615,None
Snitz 1,25,26,0.711538462,None
Snitz 1,25,27,0.721153846,None
Snitz 1,25,28,0.629807692,None
Snitz 1,25,29,0.673076923,None
Snitz 1,25,30,0.663461538,None
Snitz 1,25,31,0.610576923,None
Snitz 1,32,26,0.8125,None
Snitz 1,32,27,0.721153846,None
Snitz 1,32,28,0.793269231,None
Snitz 1,32,29,0.610576923,None
Snitz 1,32,30,0.740384615,None
Snitz 1,32,31,0.754807692,None
Snitz 1,33,26,0.682692308,None
Snitz 1,33,27,0.615384615,None
Snitz 1,33,28,0.735576923,None
Snitz 1,33,29,0.533653846,None
Snitz 1,33,30,0.519230769,None
Snitz 1,33,31,0.725961538,None
Snitz 1,34,26,0.658653846,None
Snitz 1,34,27,0.634615385,None
Snitz 1,34,28,0.692307692,None
Snitz 1,34,29,0.524038462,None
Snitz 1,34,30,0.456730769,None
Snitz 1,34,31,0.692307692,None
Snitz 1,35,26,0.735576923,None
Snitz 1,35,27,0.653846154,None
Snitz 1,35,28,0.673076923,None
Snitz 1,35,29,0.629807692,None
Snitz 1,35,30,0.514423077,None
Snitz 1,35,31,0.653846154,None
Snitz 1,36,26,0.769230769,None
Snitz 1,36,27,0.653846154,None
Snitz 1,36,28,0.716346154,None
Snitz 1,36,29,0.807692308,None
Snitz 1,36,30,0.764423077,None
Snitz 1,36,31,0.826923077,None
Snitz 1,37,38,0.522727273,None
Snitz 1,37,39,0.625,None
Snitz 1,37,40,0.642045455,None
Snitz 1,37,41,0.625,None
Snitz 1,42,39,0.528409091,None
Snitz 1,42,40,0.539772727,None
Snitz 1,42,41,0.471590909,None
Snitz 1,3,38,0.778409091,None
Snitz 1,3,39,0.772727273,None
Snitz 1,3,40,0.727272727,None
Snitz 1,3,41,0.693181818,None
Snitz 1,43,44,0.659090909,None
Snitz 1,43,38,0.664772727,None
Snitz 1,43,45,0.840909091,None
Snitz 1,43,39,0.642045455,None
Snitz 1,43,40,0.653409091,None
Snitz 1,43,41,0.647727273,None
Snitz 1,43,46,0.6875,None
Snitz 1,47,44,0.664772727,None
Snitz 1,47,38,0.392045455,None
Snitz 1,47,45,0.789772727,None
Snitz 1,47,40,0.488636364,None
Snitz 1,47,46,0.619318182,None
Snitz 1,48,44,0.676136364,None
Snitz 1,48,38,0.414772727,None
Snitz 1,48,45,0.755681818,None
Snitz 1,48,39,0.443181818,None
Snitz 1,48,40,0.346590909,None
Snitz 1,48,41,0.522727273,None
Snitz 1,48,46,0.528409091,None
Snitz 1,49,44,0.352272727,None
Snitz 1,49,38,0.454545455,None
Snitz 1,49,39,0.619318182,None
Snitz 1,49,40,0.647727273,None
Snitz 1,49,41,0.590909091,None
Snitz 1,49,46,0.602272727,None
Snitz 2,1,2,0.571079232,None
Snitz 2,1,3,0.617074811,None
Snitz 2,1,4,0.417794564,None
Snitz 2,5,6,0.702678919,None
Snitz 2,5,7,0.377680188,None
Snitz 2,5,3,0.403165774,None
Snitz 2,2,5,0.431679374,None
Snitz 2,2,6,0.688897466,None
Snitz 2,8,2,0.548093475,None
Snitz 2,8,9,0.441539564,None
Snitz 2,6,10,0.715333919,None
Snitz 2,6,11,0.62178788,None
Snitz 2,12,5,0.707735537,None
Snitz 2,12,2,0.671511581,None
Snitz 2,12,6,0.640651637,None
Snitz 2,7,1,0.641323935,None
Snitz 2,7,8,0.611684523,None
Snitz 2,3,12,0.706568159,None
Snitz 2,3,13,0.581259278,None
Snitz 2,3,10,0.55311862,None
Snitz 2,9,5,0.381566352,None
Snitz 2,9,12,0.699182921,None
Snitz 2,9,3,0.508135923,None
Snitz 2,13,1,0.549520134,None
Snitz 2,13,2,0.566943825,None
Snitz 2,13,6,0.599266027,None
Snitz 2,4,5,0.289236253,None
Snitz 2,4,8,0.483749082,None
Snitz 2,4,13,0.622244157,None
Snitz 2,4,11,0.573445625,None
Snitz 2,10,9,0.483212535,None
Snitz 2,10,4,0.399586021,None
Snitz 2,14,1,0.65665315,None
Snitz 2,14,6,0.663165187,None
Snitz 2,14,7,0.33198546,None
Snitz 2,14,13,0.595095117,None
Snitz 2,14,10,0.347093793,None
Snitz 2,11,1,0.379850967,None
Snitz 2,11,2,0.478150495,None
Snitz 2,11,8,0.519923765,None
Snitz 2,11,12,0.652060266,None
Snitz 2,11,13,0.4955536,None
Snitz 2,1,5,0.365823651,None
Snitz 2,1,6,0.554831352,None
Snitz 2,1,12,0.461249656,None
Snitz 2,1,9,0.531256662,None
Snitz 2,1,10,0.629883689,None
Snitz 2,5,8,0.523572917,None
Snitz 2,5,13,0.623722766,None
Snitz 2,5,10,0.524793971,None
Snitz 2,5,14,0.434726288,None
Snitz 2,5,11,0.444452165,None
Snitz 2,2,7,0.434875161,None
Snitz 2,2,3,0.521107479,None
Snitz 2,2,9,0.435297988,None
Snitz 2,2,10,0.409498442,None
Snitz 2,2,14,0.353717605,None
Snitz 2,8,6,0.699666352,None
Snitz 2,8,12,0.75005623,None
Snitz 2,8,3,0.493943735,None
Snitz 2,8,13,0.766438661,None
Snitz 2,8,10,0.537752535,None
Snitz 2,8,14,0.61790083,None
Snitz 2,6,3,0.648905325,None
Snitz 2,6,9,0.722060567,None
Snitz 2,6,4,0.718496654,None
Snitz 2,12,7,0.661498482,None
Snitz 2,12,13,0.633933962,None
Snitz 2,12,4,0.724689658,None
Snitz 2,7,3,0.464489509,None
Snitz 2,7,9,0.41743823,None
Snitz 2,7,4,0.385388532,None
Snitz 2,7,10,0.499030847,None
Snitz 2,7,11,0.344029083,None
Snitz 2,3,14,0.516065325,None
Snitz 2,3,11,0.496331653,None
Snitz 2,9,13,0.582958927,None
Snitz 2,9,4,0.414009564,None
Snitz 2,9,11,0.309007512,None
Snitz 2,13,10,0.609489573,None
Snitz 2,4,14,0.369436836,None
Snitz 2,10,11,0.540210831,None
Snitz 2,14,11,0.374876806,None
Ravia 1,1,3,0.615227273,None
Ravia 1,1,8,0.551590909,None
Ravia 1,1,11,0.689772727,None
Ravia 1,2,5,0.59,None
Ravia 1,2,7,0.348181818,None
Ravia 1,2,8,0.497954546,None
Ravia 1,3,2,0.533409091,None
Ravia 1,3,5,0.4725,None
Ravia 1,4,3,0.5725,None
Ravia 1,4,9,0.547954546,None
Ravia 1,5,7,0.595681818,None
Ravia 1,5,10,0.5875,None
Ravia 1,5,14,0.530227273,None
Ravia 1,6,2,0.833409091,None
Ravia 1,6,3,0.713636364,None
Ravia 1,6,5,0.722045455,None
Ravia 1,6,10,0.629318182,None
Ravia 1,7,1,0.700909091,None
Ravia 1,7,4,0.530681818,None
Ravia 1,8,6,0.798181818,None
Ravia 1,8,12,0.628181818,None
Ravia 1,8,11,0.533181818,None
Ravia 1,8,10,0.625227273,None
Ravia 1,9,2,0.415227273,None
Ravia 1,9,6,0.771590909,None
Ravia 1,9,8,0.520909091,None
Ravia 1,9,13,0.555681818,None
Ravia 1,12,1,0.675909091,None
Ravia 1,12,3,0.613181818,None
Ravia 1,12,5,0.647045455,None
Ravia 1,11,2,0.453636364,None
Ravia 1,11,4,0.630909091,None
Ravia 1,11,12,0.737727273,None
Ravia 1,11,14,0.464545455,None
Ravia 1,10,9,0.585909091,None
Ravia 1,10,11,0.6425,None
Ravia 1,13,1,0.679545455,None
Ravia 1,13,5,0.676590909,None
Ravia 1,13,7,0.387045455,None
Ravia 1,13,12,0.674772727,None
Ravia 1,13,10,0.691136364,None
Ravia 1,14,1,0.610227273,None
Ravia 1,14,3,0.531136364,None
Ravia 1,14,4,0.498409091,None
Ravia 1,14,6,0.803409091,None
Ravia 1,14,12,0.652272727,None
Ravia 1,1,2,0.719545455,None
Ravia 1,1,4,0.779090909,None
Ravia 1,1,5,0.409545455,None
Ravia 1,1,6,0.745454546,None
Ravia 1,1,9,0.647727273,None
Ravia 1,1,10,0.643409091,None
Ravia 1,2,4,0.394090909,None
Ravia 1,2,12,0.745909091,None
Ravia 1,2,10,0.703409091,None
Ravia 1,2,13,0.422272727,None
Ravia 1,2,14,0.395,None
Ravia 1,3,7,0.535909091,None
Ravia 1,3,8,0.485681818,None
Ravia 1,3,9,0.5075,None
Ravia 1,3,11,0.504318182,None
Ravia 1,3,10,0.649545455,None
Ravia 1,3,13,0.396363636,None
Ravia 1,4,5,0.668409091,None
Ravia 1,4,6,0.792727273,None
Ravia 1,4,8,0.513181818,None
Ravia 1,4,12,0.6675,None
Ravia 1,4,10,0.650227273,None
Ravia 1,4,13,0.569772727,None
Ravia 1,5,8,0.573636364,None
Ravia 1,5,9,0.625681818,None
Ravia 1,5,11,0.685,None
Ravia 1,6,7,0.837272727,None
Ravia 1,6,12,0.635227273,None
Ravia 1,6,11,0.849545455,None
Ravia 1,6,13,0.818863636,None
Ravia 1,7,8,0.436818182,None
Ravia 1,7,9,0.477954546,None
Ravia 1,7,12,0.684090909,None
Ravia 1,7,11,0.332954546,None
Ravia 1,7,10,0.668181818,None
Ravia 1,7,14,0.433409091,None
Ravia 1,8,13,0.433181818,None
Ravia 1,8,14,0.427045455,None
Ravia 1,9,12,0.736818182,None
Ravia 1,9,11,0.546590909,None
Ravia 1,9,14,0.2275,None
Ravia 1,12,10,0.306136364,None
Ravia 1,11,13,0.275909091,None
Ravia 1,10,14,0.6675,None
Ravia 1,13,14,0.5,None
Ravia 2,1,3,0.6654,None
Ravia 2,1,8,0.644,None
Ravia 2,1,11,0.5905,None
Ravia 2,2,5,0.7491,None
Ravia 2,2,7,0.7304,None
Ravia 2,2,8,0.6205,None
Ravia 2,3,2,0.6769,None
Ravia 2,3,5,0.4322,None
Ravia 2,4,3,0.6791,None
Ravia 2,4,9,0.6743,None
Ravia 2,5,7,0.3867,None
Ravia 2,5,10,0.4804,None
Ravia 2,5,14,0.572,None
Ravia 2,6,2,0.4817,None
Ravia 2,6,3,0.6019,None
Ravia 2,6,5,0.6728,None
Ravia 2,6,10,0.567,None
Ravia 2,7,1,0.6644,None
Ravia 2,7,4,0.681,None
Ravia 2,8,6,0.5494,None
Ravia 2,8,12,0.5737,None
Ravia 2,8,11,0.4342,None
Ravia 2,8,10,0.5018,None
Ravia 2,9,2,0.3752,None
Ravia 2,9,6,0.4898,None
Ravia 2,9,8,0.4798,None
Ravia 2,9,13,0.5903,None
Ravia 2,12,1,0.7618,None
Ravia 2,12,3,0.5292,None
Ravia 2,12,5,0.5235,None
Ravia 2,11,2,0.7157,None
Ravia 2,11,4,0.7063,None
Ravia 2,11,12,0.4773,None
Ravia 2,11,14,0.455,None
Ravia 2,10,9,0.6539,None
Ravia 2,10,11,0.4739,None
Ravia 2,13,1,0.7542,None
Ravia 2,13,5,0.3202,None
Ravia 2,13,7,0.3809,None
Ravia 2,13,12,0.3728,None
Ravia 2,13,10,0.4985,None
Ravia 2,14,1,0.6628,None
Ravia 2,14,3,0.5667,None
Ravia 2,14,4,0.7062,None
Ravia 2,14,6,0.5375,None
Ravia 2,14,12,0.5134,None
Ravia 2,1,2,0.6364,None
Ravia 2,1,4,0.2768,None
Ravia 2,1,5,0.6213,None
Ravia 2,1,6,0.4639,None
Ravia 2,1,9,0.5792,None
Ravia 2,1,10,0.6726,None
Ravia 2,2,4,0.6731,None
Ravia 2,2,12,0.8059,None
Ravia 2,2,10,0.7725,None
Ravia 2,2,13,0.8229,None
Ravia 2,2,14,0.6833,None
Ravia 2,3,7,0.3855,None
Ravia 2,3,8,0.4696,None
Ravia 2,3,9,0.5183,None
Ravia 2,3,11,0.4607,None
Ravia 2,3,10,0.5519,None
Ravia 2,3,13,0.4467,None
Ravia 2,4,5,0.7286,None
Ravia 2,4,6,0.6529,None
Ravia 2,4,8,0.6542,None
Ravia 2,4,12,0.8327,None
Ravia 2,4,10,0.7128,None
Ravia 2,4,13,0.7573,None
Ravia 2,5,8,0.4579,None
Ravia 2,5,9,0.6734,None
Ravia 2,5,11,0.2273,None
Ravia 2,6,7,0.7173,None
Ravia 2,6,12,0.694,None
Ravia 2,6,11,0.6914,None
Ravia 2,6,13,0.715,None
Ravia 2,7,8,0.1945,None
Ravia 2,7,9,0.5282,None
Ravia 2,7,12,0.4857,None
Ravia 2,7,11,0.4042,None
Ravia 2,7,10,0.4841,None
Ravia 2,7,14,0.5004,None
Ravia 2,8,13,0.5069,None
Ravia 2,8,14,0.526,None
Ravia 2,9,12,0.7273,None
Ravia 2,9,11,0.6285,None
Ravia 2,9,14,0.5856,None
Ravia 2,12,10,0.3837,None
Ravia 2,11,13,0.3468,None
Ravia 2,10,14,0.2889,None
Ravia 2,13,14,0.5396,None
Ravia 4,1,11,0.75,None
Ravia 4,2,12,0.589285714,None
Ravia 4,3,13,0.5,None
Ravia 4,4,14,0.5,None
Ravia 4,5,15,0.660714286,None
Ravia 4,6,16,0.517857143,None
Ravia 4,8,18,0.482142857,None
Ravia 4,9,19,0.375,None
Ravia 4,10,20,0.75,None
Ravia 4,21,31,0.589285714,None
Ravia 4,22,32,0.910714286,None
Ravia 4,23,33,0.482142857,None
Ravia 4,24,34,0.732142857,None
Ravia 4,25,35,0.464285714,None
Ravia 4,26,36,0.714285714,None
Ravia 4,27,37,0.5,None
Ravia 4,28,38,0.607142857,None
Ravia 4,29,39,0.589285714,None
Ravia 4,42,52,0.5,None
Ravia 4,43,53,0.395833333,None
Ravia 4,45,55,0.354166667,None
Ravia 4,46,56,0.520833333,None
Ravia 4,47,57,0.5,None
Ravia 4,48,58,0.354166667,None
Ravia 4,49,59,0.3125,None
Ravia 4,50,60,0.395833333,None
Ravia 4,61,71,0.666666667,None
Ravia 4,62,72,0.541666667,None
Ravia 4,63,73,0.604166667,None
Ravia 4,64,74,0.458333333,None
Ravia 4,65,75,0.645833333,None
Ravia 4,66,76,0.729166667,None
Ravia 4,67,77,0.645833333,None
Ravia 4,68,78,0.666666667,None
Ravia 4,69,79,0.604166667,None
Ravia 4,70,80,0.770833333,None
Ravia 4,81,91,0.4375,None
Ravia 4,82,92,0.359375,None
Ravia 4,83,93,0.46875,None
Ravia 4,84,94,0.46875,None
Ravia 4,86,96,0.40625,None
Ravia 4,87,97,0.390625,None
Ravia 4,88,98,0.421875,None
Ravia 4,89,99,0.421875,None
Ravia 4,90,100,0.46875,None
Ravia 5,1,11,0.766666667,None
Ravia 5,2,12,0.766666667,None
Ravia 5,3,13,0.433333333,None
Ravia 5,4,14,0.6,None
Ravia 5,5,15,0.666666667,None
Ravia 5,6,16,0.5,None
Ravia 5,7,17,0.666666667,None
Ravia 5,8,18,0.6,None
Ravia 5,9,19,0.6,None
Ravia 5,10,20,0.5,None
Ravia 5,21,31,0.833333333,None
Ravia 5,22,32,0.966666667,None
Ravia 5,23,33,0.766666667,None
Ravia 5,24,34,0.833333333,None
Ravia 5,25,35,0.4,None
Ravia 5,26,36,0.9,None
Ravia 5,27,37,0.7,None
Ravia 5,28,38,0.8,None
Ravia 5,29,39,0.7,None
Ravia 5,30,40,0.766666667,None
Ravia 5,41,51,0.466666667,None
Ravia 5,42,52,0.8,None
Ravia 5,43,53,0.9,None
Ravia 5,44,54,0.5,None
Ravia 5,45,55,0.2,None
Ravia 5,46,56,0.633333333,None
Ravia 5,47,57,0.433333333,None
Ravia 5,48,58,0.466666667,None
Ravia 5,49,59,0.666666667,None
Ravia 5,50,60,0.566666667,None
Ravia 5,81,91,0.6,None
Ravia 5,82,92,0.633333333,None
Ravia 5,83,93,0.433333333,None
Ravia 5,84,94,0.433333333,None
Ravia 5,85,95,0.666666667,None
Ravia 5,86,96,0.466666667,None
Ravia 5,87,97,0.133333333,None
Ravia 5,88,98,0.266666667,None
Ravia 5,89,99,0.233333333,None
Ravia 5,90,100,0.433333333,None
Ravia 5,101,111,0.433333333,None
Ravia 5,102,112,0.333333333,None
Ravia 5,103,113,0.766666667,None
Ravia 5,104,114,0.266666667,None
Ravia 5,105,115,0.633333333,None
Ravia 5,106,116,0.433333333,None
Ravia 5,107,117,0.633333333,None
Ravia 5,108,118,0.3,None
Ravia 5,109,119,0.6,None
Ravia 5,110,120,0.333333333,None
Bushdid,497,385,0.576923077,None
Bushdid,242,213,0.692307692,None
Bushdid,402,496,0.269230769,None
Bushdid,501,511,0.576923077,None
Bushdid,111,274,0.307692308,None
Bushdid,189,68,0.5,None
Bushdid,126,38,0.769230769,None
Bushdid,66,228,0.653846154,None
Bushdid,202,74,0.769230769,None
Bushdid,397,323,0.807692308,None
Bushdid,481,313,0.615384615,None
Bushdid,322,193,0.423076923,None
Bushdid,256,317,0.576923077,None
Bushdid,184,254,0.576923077,None
Bushdid,356,364,0.615384615,None
Bushdid,34,409,0.538461538,None
Bushdid,250,460,0.5,None
Bushdid,324,425,0.576923077,None
Bushdid,423,181,0.807692308,None
Bushdid,120,141,0.269230769,None
Bushdid,37,101,0.653846154,None
Bushdid,90,178,0.615384615,None
Bushdid,476,179,0.653846154,None
Bushdid,201,354,0.538461538,None
Bushdid,416,294,0.576923077,None
Bushdid,231,183,0.5,None
Bushdid,300,134,0.346153846,None
Bushdid,443,410,0.5,None
Bushdid,488,302,0.307692308,None
Bushdid,424,430,0.692307692,None
Bushdid,116,88,0.423076923,None
Bushdid,16,133,0.538461538,None
Bushdid,100,348,0.346153846,None
Bushdid,259,510,0.692307692,None
Bushdid,105,198,0.384615385,None
Bushdid,326,484,0.461538462,None
Bushdid,102,227,0.730769231,None
Bushdid,387,176,0.307692308,None
Bushdid,161,255,0.346153846,None
Bushdid,246,146,0.538461538,None
Bushdid,223,412,0.769230769,None
Bushdid,156,78,0.807692308,None
Bushdid,384,207,0.423076923,None
Bushdid,15,87,0.769230769,None
Bushdid,169,27,0.884615385,None
Bushdid,428,471,0.153846154,None
Bushdid,327,374,0.423076923,None
Bushdid,392,437,0.807692308,None
Bushdid,204,371,0.269230769,None
Bushdid,14,439,0.846153846,None
Bushdid,307,61,0.384615385,None
Bushdid,504,108,0.461538462,None
Bushdid,389,292,0.307692308,None
Bushdid,500,35,0.269230769,None
Bushdid,94,234,0.192307692,None
Bushdid,31,167,0.538461538,None
Bushdid,383,253,0.538461538,None
Bushdid,414,11,0.846153846,None
Bushdid,365,92,0.576923077,None
Bushdid,212,50,0.423076923,None
Bushdid,339,131,0.692307692,None
Bushdid,29,406,0.807692308,None
Bushdid,477,376,0.730769231,None
Bushdid,419,229,0.846153846,None
Bushdid,8,498,0.423076923,None
Bushdid,6,137,0.5,None
Bushdid,57,458,0.807692308,None
Bushdid,319,286,0.307692308,None
Bushdid,190,166,0.692307692,None
Bushdid,394,118,0.346153846,None
Bushdid,203,403,0.461538462,None
Bushdid,400,312,0.615384615,None
Bushdid,55,84,0.692307692,None
Bushdid,284,314,0.769230769,None
Bushdid,395,104,0.192307692,None
Bushdid,517,299,0.269230769,None
Bushdid,170,159,0.538461538,None
Bushdid,39,372,0.807692308,None
Bushdid,130,417,0.769230769,None
Bushdid,373,165,0.769230769,None
Bushdid,239,128,0.423076923,None
Bushdid,99,222,0.807692308,None
Bushdid,48,180,0.730769231,None
Bushdid,85,461,0.153846154,None
Bushdid,269,502,0.5,None
Bushdid,230,280,0.461538462,None
Bushdid,398,117,0.153846154,None
Bushdid,360,40,0.461538462,None
Bushdid,139,514,0.307692308,None
Bushdid,336,248,0.576923077,None
Bushdid,32,235,0.615384615,None
Bushdid,77,494,0.653846154,None
Bushdid,64,329,0.653846154,None
Bushdid,404,380,0.538461538,None
Bushdid,224,271,0.5,None
Bushdid,508,512,0.769230769,None
Bushdid,495,492,0.730769231,None
Bushdid,503,379,0.461538462,None
Bushdid,79,422,0.5,None
Bushdid,91,399,0.615384615,None
Bushdid,168,149,0.730769231,None
Bushdid,135,127,0.384615385,None
Bushdid,391,52,0.538461538,None
Bushdid,470,411,0.153846154,None
Bushdid,265,366,0.730769231,None
Bushdid,405,241,0.307692308,None
Bushdid,138,421,0.461538462,None
Bushdid,334,506,0.269230769,None
Bushdid,44,388,0.730769231,None
Bushdid,298,273,0.653846154,None
Bushdid,187,143,0.730769231,None
Bushdid,390,440,0.576923077,None
Bushdid,519,328,0.269230769,None
Bushdid,418,375,0.461538462,None
Bushdid,123,121,0.423076923,None
Bushdid,151,281,0.192307692,None
Bushdid,429,455,0.538461538,None
Bushdid,36,452,0.384615385,None
Bushdid,96,321,0.653846154,None
Bushdid,291,124,0.923076923,None
Bushdid,363,172,0.423076923,None
Bushdid,351,59,0.615384615,None
Bushdid,80,276,0.346153846,None
Bushdid,474,263,0.846153846,None
Bushdid,303,295,0.615384615,None
Bushdid,43,288,0.384615385,None
Bushdid,97,225,0.423076923,None
Bushdid,194,219,0.730769231,None
Bushdid,304,76,0.5,None
Bushdid,396,358,0.538461538,None
Bushdid,473,205,0.384615385,None
Bushdid,145,340,0.846153846,None
Bushdid,155,122,0.653846154,None
Bushdid,200,282,0.269230769,None
Bushdid,174,82,0.269230769,None
Bushdid,42,482,0.769230769,None
Bushdid,309,444,0.576923077,None
Bushdid,413,75,0.538461538,None
Bushdid,251,310,0.615384615,None
Bushdid,331,25,0.423076923,None
Bushdid,332,293,0.730769231,None
Bushdid,190,13,0.769230769,None
Bushdid,420,283,0.384615385,None
Bushdid,182,9,0.769230769,None
Bushdid,515,83,0.692307692,None
Bushdid,442,311,0.423076923,None
Bushdid,457,54,0.538461538,None
Bushdid,315,49,0.461538462,None
Bushdid,393,448,0.653846154,None
Bushdid,154,233,0.692307692,None
Bushdid,456,468,0.5,None
Bushdid,208,196,0.423076923,None
Bushdid,260,415,0.730769231,None
Bushdid,210,377,0.461538462,None
Bushdid,24,490,0.538461538,None
Bushdid,188,361,0.730769231,None
Bushdid,478,72,0.269230769,None
Bushdid,270,23,0.653846154,None
Bushdid,148,308,0.384615385,None
Bushdid,19,267,0.230769231,None
Bushdid,264,346,0.461538462,None
Bushdid,285,109,0.5,None
Bushdid,119,301,0.423076923,None
Bushdid,462,466,0.423076923,None
Bushdid,58,112,0.538461538,None
Bushdid,463,107,0.346153846,None
Bushdid,157,447,0.5,None
Bushdid,150,355,0.538461538,None
Bushdid,240,446,0.461538462,None
Bushdid,432,18,0.5,None
Bushdid,158,505,0.730769231,None
Bushdid,297,465,0.692307692,None
Bushdid,132,342,0.5,None
Bushdid,278,144,0.307692308,None
Bushdid,249,279,0.423076923,None
Bushdid,493,362,0.846153846,None
Bushdid,89,4,0.692307692,None
Bushdid,487,5,0.346153846,None
Bushdid,316,335,0.5,None
Bushdid,199,177,0.615384615,None
Bushdid,62,257,0.538461538,None
Bushdid,53,344,0.692307692,None
Bushdid,232,206,0.730769231,None
Bushdid,147,341,0.769230769,None
Bushdid,368,305,0.538461538,None
Bushdid,103,258,0.653846154,None
Bushdid,352,220,0.692307692,None
Bushdid,171,431,0.576923077,None
Bushdid,175,427,0.461538462,None
Bushdid,266,26,0.576923077,None
Bushdid,359,347,0.538461538,None
Bushdid,438,142,0.769230769,None
Bushdid,162,330,0.653846154,None
Bushdid,21,268,0.461538462,None
Bushdid,113,378,0.807692308,None
Bushdid,247,349,0.269230769,None
Bushdid,499,81,0.576923077,None
Bushdid,454,325,0.384615385,None
Bushdid,272,129,0.653846154,None
Bushdid,306,95,0.5,None
Bushdid,236,238,0.307692308,None
Bushdid,47,479,0.769230769,None
Bushdid,185,277,0.615384615,None
Bushdid,480,28,0.576923077,None
Bushdid,357,289,0.576923077,None
Bushdid,2,45,0.576923077,None
Bushdid,353,93,0.576923077,None
Bushdid,33,485,0.538461538,None
Bushdid,221,426,0.423076923,None
Bushdid,195,445,0.769230769,None
Bushdid,115,296,0.615384615,None
Bushdid,516,333,0.846153846,None
Bushdid,67,243,0.576923077,None
Bushdid,153,513,0.423076923,None
Bushdid,237,65,0.692307692,None
Bushdid,106,451,0.730769231,None
Bushdid,12,186,0.384615385,None
Bushdid,509,98,0.461538462,None
Bushdid,71,211,0.384615385,None
Bushdid,386,450,0.384615385,None
Bushdid,453,467,0.384615385,None
Bushdid,41,17,0.576923077,None
Bushdid,216,114,0.423076923,None
Bushdid,367,290,0.076923077,None
Bushdid,441,345,0.653846154,None
Bushdid,244,10,0.653846154,None
Bushdid,217,252,0.461538462,None
Bushdid,407,338,0.730769231,None
Bushdid,483,449,0.846153846,None
Bushdid,51,433,0.461538462,None
Bushdid,69,382,0.692307692,None
Bushdid,125,401,0.730769231,None
Bushdid,350,459,0.538461538,None
Bushdid,22,275,0.807692308,None
Snitz 1,520,2,0.604166667,add_1-2
Snitz 1,521,2,0.604166667,add_1-2
Snitz 1,522,2,0.604166667,add_1-2
Snitz 1,523,2,0.604166667,add_1-2
Snitz 1,524,2,0.604166667,add_1-2
Snitz 1,525,2,0.604166667,add_1-2
Snitz 1,526,2,0.604166667,add_1-2
Snitz 1,527,2,0.604166667,add_1-2
Snitz 1,528,2,0.604166667,add_1-2
Snitz 1,529,2,0.604166667,add_1-2
Snitz 1,530,1,0.604166667,add_2-1
Snitz 1,531,1,0.604166667,add_2-1
Snitz 1,532,1,0.604166667,add_2-1
Snitz 1,533,1,0.604166667,add_2-1
Snitz 1,534,1,0.604166667,add_2-1
Snitz 1,535,1,0.604166667,add_2-1
Snitz 1,536,1,0.604166667,add_2-1
Snitz 1,537,1,0.604166667,add_2-1
Snitz 1,538,1,0.604166667,add_2-1
